,Name,Symbol
,ACC LIMITED,ACC
,ADANI ENTERPRISES LIMITED,ADANIENT
,ADANI PORT & SEZ LTD,ADANIPORTS
,ADANI POWER LTD,ADANIPOWER
,AJANTA PHARMA LIMITED,AJANTPHARM
,ALLAHABAD BANK,ALBK
,AMARA RAJA BATTERIES LTD.,AMARAJABAT
,AMBUJA CEMENTS LTD,AMBUJACEM
,ANDHRA BANK,ANDHRABANK
,APOLLO HOSPITALS ENTER. L,APOLLOHOSP
,APOLLO TYRES LTD,APOLLOTYRE
,ARVIND LIMITED,ARVIND
,ASHOK LEYLAND LTD,ASHOKLEY
,ASIAN PAINTS LIMITED,ASIANPAINT
,AUROBINDO PHARMA LTD,AUROPHARMA
,AXIS BANK LIMITED,AXISBANK
,BAJAJ AUTO LIMITED,BAJAJ-AUTO
,BAJAJ FINSERV LIMITED,BAJAJFINSV
,BAJAJ FINANCE LIMITED,BAJFINANCE
,BALKRISHNA INDUSTRIES LIMITED,BALKRISIND
,BALRAMPUR CHINI MILLS LIMITED,BALRAMCHIN
,BANK OF BARODA,BANKBARODA
,BANK OF INDIA,BANKINDIA
,BATA INDIA LTD,BATAINDIA
,BHARAT ELECTRONICS LTD,BEL
,BEML LIMITED,BEML
,BERGER PAINTS (I) LIMITED,BERGEPAINT
,BHARAT FIN INCLUSION LTD,BHARATFIN
,BHARAT FORGE LTD,BHARATFORG
,BHARTI AIRTEL LIMITED,BHARTIARTL
,BHEL,BHEL
,BIOCON LIMITED.,BIOCON
,BOSCH LIMITED,BOSCHLTD
,BHARAT PETROLEUM CORP LT,BPCL
,BRITANNIA INDUSTRIES LTD,BRITANNIA
,CADILA HEALTHCARE LIMITED,CADILAHC
,CANARA BANK,CANBK
,CAN FIN HOMES LIMITED,CANFINHOME
,CAPITAL FIRST LIMITED,CAPF
,CASTROL INDIA LIMITED,CASTROLIND
,CEAT LIMITED,CEATLTD
,CENTURY TEXTILES LTD,CENTURYTEX
,CESC LTD,CESC
,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,CGPOWER
,CHENNAI PETROLEUM CORPORATION LIMITED,CHENNPETRO
,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN
,CIPLA LTD,CIPLA
,COAL INDIA LTD,COALINDIA
,COLGATE PALMOLIVE LTD.,COLPAL
,CONTAINER CORP OF IND LTD,CONCOR
,CUMMINS INDIA LTD,CUMMINSIND
,DABUR INDIA LTD,DABUR
,DALMIA BHARAT LIMITED,DALMIABHA
,DCB BANK LIMITED,DCBBANK
,DEWAN HOUSING FIN CORP LT,DHFL
,DISH TV INDIA LTD.,DISHTV
,DIVI'S LABORATORIES LTD,DIVISLAB
,DLF LIMITED,DLF
,DR. REDDY'S LABORATORIES,DRREDDY
,EICHER MOTORS LTD,EICHERMOT
,ENGINEERS INDIA LTD,ENGINERSIN
,EQUITAS HOLDINGS LIMITED,EQUITAS
,ESCORTS LIMITED,ESCORTS
,EXIDE INDUSTRIES LTD,EXIDEIND
,FEDERAL BANK LTD,FEDERALBNK
,GAIL (INDIA) LTD,GAIL
,GLENMARK PHARMACEUTICALS,GLENMARK
,GMR INFRASTRUCTURE LTD.,GMRINFRA
,GODFREY PHILLIPS INDIA LIMITED,GODFRYPHLP
,GODREJ CONSUMER PRODUCTS,GODREJCP
,GODREJ INDUSTRIES LTD,GODREJIND
,GRANULES INDIA LIMITED,GRANULES
